Type,TimeStamp,Latitude,Longitude,HAccuracy,Speed,Course
0,2017-09-22 20:39:01 +0000,37.411414,-121.889976,5,14.68,69.89505
0,2017-09-22 20:39:06 +0000,37.411652,-121.88916,5,14.5,69.89505
0,2017-09-22 20:39:11 +0000,37.411871,-121.888415,5,15.25,69.542274
0,2017-09-22 20:39:16 +0000,37.412129,-121.887554,5,15.97,69.313118
0,2017-09-22 20:39:22 +0000,37.412434,-121.886566,5,15.74,68.334518
0,2017-09-22 20:39:27 +0000,37.412704,-121.885732,5,16.08,67.871788
0,2017-09-22 20:39:34 +0000,37.413065,-121.884473,5,17.629999,68.478195
0,2017-09-22 20:39:39 +0000,37.413363,-121.883434,5,19.83,69.542229
0,2017-09-22 20:39:44 +0000,37.413705,-121.882297,5,20.84,69.960938
0,2017-09-22 20:39:49 +0000,37.413993,-121.881356,5,16.66,68.90625
0,2017-09-22 20:39:55 +0000,37.414239,-121.880427,5,14.38,68.554688
0,2017-09-22 20:40:00 +0000,37.414478,-121.879634,5,14.01,74.179688
0,2017-09-22 20:40:05 +0000,37.414322,-121.878991,5,11.6,149.765625
0,2017-09-22 20:40:10 +0000,37.413795,-121.879176,5,13.78,236.25
0,2017-09-22 20:40:16 +0000,37.414079,-121.879863,5,12.45,339.257812
0,2017-09-22 20:40:21 +0000,37.414794,-121.880113,5,18.82,344.179688
0,2017-09-22 20:40:27 +0000,37.415857,-121.88044,5,20.9,347.34375
0,2017-09-22 20:40:32 +0000,37.416792,-121.880713,5,22.719999,346.289062
0,2017-09-22 20:40:37 +0000,37.417847,-121.88105,5,24.809999,344.53125
0,2017-09-22 20:40:42 +0000,37.41893,-121.881437,5,23.639999,343.828125
0,2017-09-22 20:40:47 +0000,37.419849,-121.881776,5,21.940001,344.53125
0,2017-09-22 20:40:52 +0000,37.420988,-121.882117,5,29.690001,346.640625
0,2017-09-22 20:40:55 +0000,37.421832,-121.882356,5,33.380001,346.992188
0,2017-09-22 20:40:58 +0000,37.422768,-121.882623,5,36.900002,345.234375
0,2017-09-22 20:41:03 +0000,37.424459,-121.883228,5,41.32,343.125
0,2017-09-22 20:41:06 +0000,37.425531,-121.883645,5,41.27,341.367188
0,2017-09-22 20:41:07 +0000,37.425883,-121.883794,5,41.27,341.367188
0,2017-09-22 20:41:10 +0000,37.426908,-121.884291,5,41.009998,337.5
0,2017-09-22 20:41:15 +0000,37.428627,-121.885222,5,42.23,337.148438
0,2017-09-22 20:41:20 +0000,37.430351,-121.886153,5,40.290001,336.796875
0,2017-09-22 20:41:21 +0000,37.430681,-121.88633,5,39.73,336.796875
0,2017-09-22 20:41:25 +0000,37.431938,-121.887013,5,37.299999,337.5
0,2017-09-22 20:41:25 +0000,37.431633,-121.886847,5,37.869999,337.148438
0,2017-09-22 20:41:29 +0000,37.433172,-121.88764,5,36.509998,337.851562
0,2017-09-22 20:41:30 +0000,37.433476,-121.887793,5,36.290001,337.851562
0,2017-09-22 20:41:31 +0000,37.433783,-121.887952,5,36.240002,338.203125
0,2017-09-22 20:41:36 +0000,37.435336,-121.888622,5,36.150002,344.179688
0,2017-09-22 20:41:41 +0000,37.43695,-121.889057,5,37.43,350.859375
0,2017-09-22 20:41:44 +0000,37.437938,-121.889253,5,36.439999,350.859375
0,2017-09-22 20:41:49 +0000,37.439432,-121.889561,5,31.35,350.507812
0,2017-09-22 20:41:53 +0000,37.440553,-121.889798,5,32.32,350.859375
0,2017-09-22 20:41:58 +0000,37.442057,-121.890111,5,35.48,351.210938
0,2017-09-22 20:42:01 +0000,37.44303,-121.890314,5,36.299999,350.859375
0,2017-09-22 20:42:02 +0000,37.443351,-121.890376,5,36.349998,350.859375
0,2017-09-22 20:42:03 +0000,37.44367,-121.890442,5,35.849998,350.859375
0,2017-09-22 20:42:04 +0000,37.443983,-121.890506,5,34.549999,350.507812
0,2017-09-22 20:42:05 +0000,37.444276,-121.890567,5,32.48,350.859375
0,2017-09-22 20:42:12 +0000,37.446193,-121.89096,5,30.610001,350.859375
0,2017-09-22 20:42:17 +0000,37.447524,-121.89122,5,29.139999,350.507812
0,2017-09-22 20:42:21 +0000,37.448581,-121.891463,5,30.66,346.992188
0,2017-09-22 20:42:26 +0000,37.449976,-121.891982,5,33.52,340.664062
0,2017-09-22 20:42:30 +0000,37.451049,-121.892524,5,30.120001,335.742188
0,2017-09-22 20:42:35 +0000,37.452229,-121.893294,5,28.780001,329.414062
0,2017-09-22 20:42:40 +0000,37.453301,-121.894187,5,27.01,324.140625
0,2017-09-22 20:42:45 +0000,37.454199,-121.895009,5,19.58,324.84375
0,2017-09-22 20:42:50 +0000,37.454851,-121.895578,5,17.76,324.140625
0,2017-09-22 20:42:55 +0000,37.455495,-121.896176,5,17.030001,324.140625
0,2017-09-22 20:43:00 +0000,37.456178,-121.896795,5,19.59,323.789062
0,2017-09-22 20:43:05 +0000,37.456979,-121.897507,5,23.77,324.140625
0,2017-09-22 20:43:10 +0000,37.45791,-121.898367,5,27.43,324.140625
0,2017-09-22 20:43:11 +0000,37.458113,-121.898549,5,28.129999,324.140625
0,2017-09-22 20:43:16 +0000,37.459118,-121.899465,5,27.51,324.492188
0,2017-09-22 20:43:17 +0000,37.459324,-121.899644,5,27.77,324.492188
0,2017-09-22 20:43:22 +0000,37.460389,-121.900605,5,29.700001,324.492188
